"identifier","source_phrase","translation","context","labels","max_length"
"admin.ban.params.deletemessagedays.description","Number of days for which messages are to be deleted (0-7, optional)","Number of days for which messages are to be deleted (0-7, optional)","Help text describing the `deletemessagedays` option on `/ban` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.ban.params.deletemessagedays.name","delete_messages_days","delete_messages_days","Display name of the `deletemessagedays` option on `/ban` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.ban.params.reason.description","The reason for the ban (optional)","The reason for the ban (optional)","Help text describing the `reason` option on `/ban` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.ban.params.reason.name","reason","reason","Display name of the `reason` option on `/ban` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.ban.params.user.description","The member to be banned","The member to be banned","Help text describing the `user` option on `/ban` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.ban.params.user.name","user","user","Display name of the `user` option on `/ban` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.boosterrole.description","Creates a booster role","Creates a booster role","Short description of `/boosterrole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.boosterrole.name","booster_role","booster_role","Slash command name for `/boosterrole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.boosterrole.params.role.description","The role that is to be set as a booster role","The role that is to be set as a booster role","Help text describing the `role` option on `/boosterrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.copy7tv.description","Browse and import a streamer's 7TV emotes","Browse and import a streamer's 7TV emotes","Short description of `/copy7tv` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.copy7tv.params.twitch.username.description","The Twitch username of the streamer","The Twitch username of the streamer","Help text describing the `twitch` option on `/copy7tv` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.copyemoji.description","Copies an emoji to your server","Copies an emoji to your server","Short description of `/copyemoji` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.copyemoji.name","copy_emoji","copy_emoji","Slash command name for `/copyemoji` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.copyemoji.params.emoji.description","The emoji you want to copy","The emoji you want to copy","Help text describing the `emoji` option on `/copyemoji` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.copyrole.description","Copies a role","Copies a role","Short description of `/copyrole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.copyrole.name","roll_copy","roll_copy","Slash command name for `/copyrole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.copyrole.params.copymembers.description","Whether members of the role should be copied (true/false)","Whether members of the role should be copied (true/false)","Help text describing the `copymembers` option on `/copyrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.copyrole.params.copymembers.false","Do not copy members","Do not copy members","Label for the `false` choice of a boolean `copymembers` option on `/copyrole`. Used in `extensions/admin.py`.","admin,command_option_choice","100"
"admin.copyrole.params.copymembers.name","copy_members","copy_members","Display name of the `copymembers` option on `/copyrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.copyrole.params.copymembers.true","copy_members","copy_members","Label for the `true` choice of a boolean `copymembers` option on `/copyrole`. Used in `extensions/admin.py`.","admin,command_option_choice","100"
"admin.copyrole.params.role.description","The role that is to be copied","The role that is to be copied","Help text describing the `role` option on `/copyrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.copyrole.params.role.name","role","role","Display name of the `role` option on `/copyrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createemoji.description","Creates a new emoji with optional role restrictions","Creates a new emoji with optional role restrictions","Short description of `/createemoji` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.createemoji.name","create_emoji","create_emoji","Slash command name for `/createemoji` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.createemoji.params.imageUrl.description","The URL of the image for the new emoji","The URL of the image for the new emoji","Help text describing the `imageUrl` option on `/createemoji` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createemoji.params.imageUrl.name","image_url","image_url","Display name of the `imageUrl` option on `/createemoji` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createemoji.params.name.description","The name of the new emoji","The name of the new emoji","Help text describing the `name` option on `/createemoji` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createemoji.params.name.name","name","name","Display name of the `name` option on `/createemoji` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createemoji.params.roles.description","The roles that are allowed to use the emoji (optional, leave blank for all roles)","The roles that are allowed to use the emoji (optional, leave blank for all roles)","Help text describing the `roles` option on `/createemoji` (shown when the user focuses that option).","admin,command_option_description","100"
"admin.createemoji.params.roles.name","role","role","Display name of the `roles` option on `/createemoji` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.description","Creates a new role","Creates a new role","Short description of `/createrole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.createrole.name","create_role","create_role","Slash command name for `/createrole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.createrole.params.color.description","The color of the new role","The color of the new role","Help text describing the `color` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.color.name","color","color","Display name of the `color` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.params.displayemoji.description","The emoji to be displayed next to the role name","The emoji to be displayed next to the role name","Help text describing the `displayemoji` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.displayemoji.name","emoji","emoji","Display name of the `displayemoji` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.params.displayicon.description","The icon for the new role","The icon for the new role","Help text describing the `displayicon` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.displayicon.name","icon","icon","Display name of the `displayicon` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.params.hoist.description","Whether the role should be displayed separately from the other roles in the sidebar","Whether the role should be displayed separately from the other roles in the sidebar","Help text describing the `hoist` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.hoist.name","display_separately","display_separately","Display name of the `hoist` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.params.mentionable.description","Whether the role should be mentionable","Whether the role should be mentionable","Help text describing the `mentionable` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.mentionable.name","mentionable","mentionable","Display name of the `mentionable` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.params.name.description","The name of the new role","The name of the new role","Help text describing the `name` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.name.name","name","name","Display name of the `name` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createrole.params.reason.description","The reason for creating the role","The reason for creating the role","Help text describing the `reason` option on `/createrole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createrole.params.reason.name","reason","reason","Display name of the `reason` option on `/createrole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createticket.description","Create a message where members can create tickets","Create a message where members can create tickets","Short description of `/createticket` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.createticket.name","create_ticket","create_ticket","Slash command name for `/createticket` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.createticket.params.channel.description","The channel in which the message is to be sent","The channel in which the message is to be sent","Help text describing the `channel` option on `/createticket` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createticket.params.channel.name","channel","channel","Display name of the `channel` option on `/createticket` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createticket.params.description.description","The description of the ticket","The description of the ticket","Help text describing the `description` option on `/createticket` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createticket.params.description.name","description","description","Display name of the `description` option on `/createticket` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createticket.params.introduction.description","Introductory message that is sent in new tickets (optional)","Introductory message that is sent in new tickets (optional)","Help text describing the `introduction` option on `/createticket` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createticket.params.introduction.name","introduction","introduction","Display name of the `introduction` option on `/createticket` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createticket.params.name.description","The name of the ticket","The name of the ticket","Help text describing the `name` option on `/createticket` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createticket.params.name.name","name","name","Display name of the `name` option on `/createticket` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createticket.params.pingrole.description","The role to ping (optional, leave blank for no role)","The role to ping (optional, leave blank for no role)","Help text describing the `pingrole` option on `/createticket` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createticket.params.pingrole.name","pingrole","pingrole","Display name of the `pingrole` option on `/createticket` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.createticket.params.summarychannel.description","The channel on which the ticket summary is to be sent (optional)","The channel on which the ticket summary is to be sent (optional)","Help text describing the `summarychannel` option on `/createticket` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.createticket.params.summarychannel.name","summary_channel","summary_channel","Display name of the `summarychannel` option on `/createticket` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.deleterole.description","Deletes a roll","Deletes a roll","Short description of `/deleterole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.deleterole.name","role_delete","role_delete","Slash command name for `/deleterole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.deleterole.params.reason.description","The reason for deleting the role","The reason for deleting the role","Help text describing the `reason` option on `/deleterole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.deleterole.params.reason.name","reason","reason","Display name of the `reason` option on `/deleterole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.deleterole.params.role.description","The role to be deleted","The role to be deleted","Help text describing the `role` option on `/deleterole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.deleterole.params.role.name","role","role","Display name of the `role` option on `/deleterole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.description","Commands for server administration","Commands for server administration","Short description of `/admin` in Discord's slash command browser (max ~100 characters).","admin,command_description","100"
"admin.embed.description","Opens the embed creator to create and send a custom embed","Opens the embed creator to create and send a custom embed","Short description of `/embed` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.embed.name","embed","embed","Slash command name for `/embed` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.embed.params.channel.description","The channel to which the embed is to be sent","The channel to which the embed is to be sent","Help text describing the `channel` option on `/embed` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.embed.params.channel.name","channel","channel","Display name of the `channel` option on `/embed` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.embed.params.title.description","The title of the embed","The title of the embed","Help text describing the `title` option on `/embed` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.embed.params.title.name","title","title","Display name of the `title` option on `/embed` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.jointocreate.description","Manage the Join To Create channels","Manage the Join To Create channels","Short description of `/jointocreate` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.jointocreate.name","jointocreate","jointocreate","Slash command name for `/jointocreate` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.jtc.removechannel.description","Removes the Join-to-Create channel","Removes the Join-to-Create channel","Short description of `/jtc` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.jtc.removechannel.name","remove_channel","remove_channel","Slash command name for `/jtc` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.jtc.removechannel.params.channel.description","The channel to be removed","The channel to be removed","Help text describing the `channel` option on `/jtc` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.jtc.removechannel.params.channel.name","channel","channel","Display name of the `channel` option on `/jtc` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.jtc.setchannel.description","Sets the channel in which new members are to be created","Sets the channel in which new members are to be created","Short description of `/jtc` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.jtc.setchannel.name","set_channel","set_channel","Slash command name for `/jtc` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.jtc.setchannel.params.channel.description","The channel in which new members are to be created","The channel in which new members are to be created","Help text describing the `channel` option on `/jtc` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.jtc.setchannel.params.channel.name","channel","channel","Display name of the `channel` option on `/jtc` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.kick.description","Kicks a member off the server","Kicks a member off the server","Short description of `/kick` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.kick.name","kick","kick","Slash command name for `/kick` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.kick.params.reason.description","The reason for the kick (optional)","The reason for the kick (optional)","Help text describing the `reason` option on `/kick` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.kick.params.reason.name","reason","reason","Display name of the `reason` option on `/kick` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.kick.params.user.description","The member to be kicked","The member to be kicked","Help text describing the `user` option on `/kick` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.kick.params.user.name","user","user","Display name of the `user` option on `/kick` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.lock.description","Blocks a channel for normal users","Blocks a channel for normal users","Short description of `/lock` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.lock.name","lock","lock","Slash command name for `/lock` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.lock.params.channel.description","The channel to be blocked (optional, default: current channel)","The channel to be blocked (optional, default: current channel)","Help text describing the `channel` option on `/lock` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.lock.params.channel.name","channel","channel","Display name of the `channel` option on `/lock` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.moverole.description","Moves a roller above or below another roller","Moves a roller above or below another roller","Short description of `/moverole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.moverole.name","move_role","move_role","Slash command name for `/moverole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.moverole.params.copymembers.false","Do not copy members","Do not copy members","Label for the `false` choice of a boolean `copymembers` option on `/moverole`.","admin,command_option_choice","100"
"admin.moverole.params.copymembers.true","Copy members","Copy members","Label for the `true` choice of a boolean `copymembers` option on `/moverole`.","admin,command_option_choice","100"
"admin.moverole.params.position.above","about it","about it","Option text for `position` on `/moverole`. Used in `extensions/admin.py`.","admin","100"
"admin.moverole.params.position.above.description","The roll is moved over the target roll","The roll is moved over the target roll","Help text describing the `position` option on `/moverole` (shown when the user focuses that option).","admin,command_option_description","100"
"admin.moverole.params.position.above.name","about","about","Display name of the `position` option on `/moverole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.moverole.params.position.below","including","including","Option text for `position` on `/moverole`. Used in `extensions/admin.py`.","admin","100"
"admin.moverole.params.position.below.description","The roll is moved under the target roll","The roll is moved under the target roll","Help text describing the `position` option on `/moverole` (shown when the user focuses that option).","admin,command_option_description","100"
"admin.moverole.params.position.below.name","under","under","Display name of the `position` option on `/moverole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.moverole.params.position.description","Whether the roll should be moved above or below the target roll","Whether the roll should be moved above or below the target roll","Help text describing the `position` option on `/moverole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.moverole.params.position.name","position","position","Display name of the `position` option on `/moverole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.moverole.params.role.description","The role that is to be moved","The role that is to be moved","Help text describing the `role` option on `/moverole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.moverole.params.role.name","role","role","Display name of the `role` option on `/moverole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.moverole.params.targetrole.description","The role to be moved above or below","The role to be moved above or below","Help text describing the `targetrole` option on `/moverole` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.moverole.params.targetrole.name","target_role","target_role","Display name of the `targetrole` option on `/moverole` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.name","admin","admin","Slash command name for `/admin` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list.","command_name,admin","32"
"admin.nickname.description","Changes or removes the nickname of a member","Changes or removes the nickname of a member","Short description of `/nickname` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.nickname.name","nickname","nickname","Slash command name for `/nickname` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.nickname.params.member.description","The member whose nickname is to be changed","The member whose nickname is to be changed","Help text describing the `member` option on `/nickname` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.nickname.params.member.name","member","member","Display name of the `member` option on `/nickname` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.nickname.params.nickname.description","The new nickname (leave blank to remove the nickname)","The new nickname (leave blank to remove the nickname)","Help text describing the `nickname` option on `/nickname` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.nickname.params.nickname.name","nickname","nickname","Display name of the `nickname` option on `/nickname` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.nuke.description","Deletes all messages in a channel by deleting and recreating it","Deletes all messages in a channel by deleting and recreating it","Short description of `/nuke` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.nuke.name","nuke","nuke","Slash command name for `/nuke` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.nuke.params.channel.description","The channel to be nuked (optional, default: current channel)","The channel to be nuked (optional, default: current channel)","Help text describing the `channel` option on `/nuke` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.nuke.params.channel.name","channel","channel","Display name of the `channel` option on `/nuke` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.purge.description","Deletes a certain number of messages in a channel","Deletes a certain number of messages in a channel","Short description of `/purge` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.purge.name","delete","delete","Slash command name for `/purge` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
"admin.purge.params.amount.description","The limit of messages to be deleted","The limit of messages to be deleted","Help text describing the `amount` option on `/purge` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.purge.params.amount.name","limit","limit","Display name of the `amount` option on `/purge` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.purge.params.channel.description","The channel in which the messages are to be deleted (optional, default: current channel)","The channel in which the messages are to be deleted (optional, default: current channel)","Help text describing the `channel` option on `/purge` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.purge.params.channel.name","channel","channel","Display name of the `channel` option on `/purge` (shown in Discord's slash command option list).","admin,command_option_name","32"
"admin.purge.params.setting.all","All messages","Delete all messages","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.bot","Bots only","only delete messages from bots","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.botNotPinned","Bots, unpinned","only delete unattached messages from bots","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.description","Messages to delete","Which messages should be deleted","Help text describing the `setting` option on `/purge` (shown when the user focuses that option). Used in `extensions/admin.py`.","admin,command_option_description","100"
"admin.purge.params.setting.embeds","With embeds","only delete messages with embed","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.files","With files","only delete messages with file attachments","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.notAdmin","Non-admins","only delete messages from non-administrators (incl. bots)","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.notAdminNotPinned","Non-admins, unpinned","only delete unattached messages from non-administrators (incl. bots)","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.notPinned","Unpinned only","Delete only unattached messages","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.notUserAdmin","Non-admins (no bots)","only delete messages from non-administrators except bots","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.user","Users only","only delete messages from users","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.purge.params.setting.userNotPinned","Users, unpinned","only delete unattached messages from users","Option text for `setting` on `/purge`. Used in `extensions/admin.py`.","admin","100"
"admin.removerole.description","Removes a role from a user","Removes a role from a user","Short description of `/removerole` in Discord's slash command browser (max ~100 characters). Used in `extensions/admin.py`.","admin,command_description","100"
"admin.removerole.name","remove_role","remove_role","Slash command name for `/removerole` (lowercase, no spaces; registered via locale_str). Discord shows this in the command list. Used in `extensions/admin.py`.","command_name,admin","32"
